uniprot_accession	symbol
Q99PG0	AADAC
Q99JW1	ABHD17A
Q7M759	ABHD17B
Q8VCV1	ABHD17C
Q99LR1	ABHD12
Q8C1A9	ABHD18
Q9QZC8	ABHD1
Q9QXM0	ABHD2
Q91ZH7	ABHD3
Q8VD66	ABHD4
Q8R2Y0	ABHD6
Q8R0P8	ABHD8
Q6PE15	ABHD10
Q8K4F5	ABHD11
Q80UX8	ABHD13
Q922Q6	ABHD14A
Q8VCR7	ABHD14B
Q9Z1Q2	ABHD16A
Q80YU0	ABHD16B
P21836	ACHE
A2AKK5	ACNAT1
Q8BGG9	ACNAT2
O55137	ACOT1
Q9QYR9	ACOT2
Q8BWN8	ACOT4
Q32Q92	ACOT6
P23578	ACR
A2A7Z8	AADACL3
Q8C138	ADTRP
Q9D8B1	AIG1
O35298	AOAH
Q8R146	APEH
Q8R164	BPHL
Q9ER10	PRSS22
Q3UZ09	C1RL
P28293	CTSG
P05208	CELA2A
Q9CQ52	CELA3B
Q91X79	CELA1
Q64285	CEL
P04186	CFB
P03953	CFD
Q61129	CFI
Q03311	BCHE
O88696	CLPP
P21844	CMA1
P21180	C2
Q9Z319	CORIN
Q9D3S9	CPVL
Q9CR35	CTRB1
Q3SYP2	CTRC
Q80YA3	DDHD1
Q80Y98	DDHD2
Q6WQJ1	DAGLA
Q91WC9	DAGLB
Q9ET22	DPP7
P28843	DPP4
Q80YA7	DPP8
Q8BVG4	DPP9
Q3UP87	ELANE
P97435	TMPRSS15
P23953	CES1C
Q8VCT4	CES1D
Q64176	CES1E
Q91WU0	CES1F
Q8VCC2	CES1G
Q8QZR3	CES2A
Q91WG0	CES2C
Q8BK48	CES2E
Q63880	CES3A
Q8VCU1	CES3B
Q8R0W5	CES4A
Q6AW46	CES5A
Q9R0P3	ESD
Q9D2L9	FAM111A
Q6NS59	FAM135A
Q9DAI6	FAM135B
F8WIJ5	DDHD1
O88947	F10
Q91Y47	F11
Q80YC5	F12
P70375	F7
P16294	F9
O08914	FAAH
Q8R3F5	MCAT
P19096	FASN
P23188	FURIN
Q9CZN8	QRSL1
D3Z7P3	GLS
Q571F8	GLS2
P11032	GZMA
P04187	GZMB
O35205	GZMK
Q8K0D2	HABP2
O35453	HPN
Q9R098	HGFAC
Q9R118	HTRA1
Q9JIY5	HTRA2
Q9D236	HTRA3
A2RT60	HTRA4
Q9DB29	IAH1
Q9CQU8	IMMP1L
Q8BPT6	IMMP2L
Q8K4H1	AFMID
Q9QYN3	KLK11
Q8CGR5	KLK14
P15947	KLK1
Q9Z0M1	KLK4
Q91VE3	KLK7
Q61955	KLK8
P26262	KLKB1
Q9EP89	LACTB
P16301	LCAT
Q8BVA5	LDAH
Q9Z0M5	LIPA
P27656	LIPC
Q9WVG5	LIPG
Q9CPP7	LIPF
Q8CIV3	LIPH
Q8BM14	LIPK
P11152	LPL
Q8K2A6	LIPM
Q3U4B4	LIPN
Q6P8U6	PNLIP
Q5BKQ4	PNLIPRP1
P17892	PNLIPRP2
P54310	LIPE
Q8CGK3	LONP1
Q9DBN5	LONP2
P97823	LYPLA1
Q9WTL7	LYPLA2
Q3UFF7	LYPLAL1
P98064	MASP1
Q91WP0	MASP2
Q9WTZ2	MBTPS1
O35678	MGLL
Q8BLF1	NCEH1
P63239	PCSK1
P21661	PCSK2
O08762	PRSS12
Q8R116	NOTUM
Q9D7E3	OVCA2
Q7M761	OVCH2
Q61206	PAFAH1B2
Q61205	PAFAH1B3
P47713	PLA2G4A
P0C871	PLA2G4B
Q64GA5	PLA2G4C
Q50L43	PLA2G4D
Q50L42	PLA2G4E
Q50L41	PLA2G4F
Q8VDG7	PAFAH2
Q60963	PLA2G7
Q8VEB4	PLA2G15
Q5XJY4	PARL
Q7TMR0	PRCP
P29121	PCSK4
Q04592	PCSK5
Q61139	PCSK7
Q80W65	PCSK9
Q3UUQ7	PGAP1
Q9ERV7	PIDD1
Q8VI78	PLA1A
Q3TTY0	PLB1
P20918	PLG
Q3V1D5	PNPLA1
Q8BJ56	PNPLA2
Q91WW7	PNPLA3
Q32LZ8	PNPLA5
Q3TRM4	PNPLA6
A2AJ88	PNPLA7
Q8K1N1	PNPLA8
P97819	PLA2G6
Q5K2P8	PRSS36
Q8C167	PREPL
Q9QUR6	PREP
P16675	CTSA
Q8BVQ5	PPME1
O88531	PPT1
O35448	PPT2
P33587	PROC
P05143	PNLIPRP2
Q9D6X6	PRSS23
Q8BJR6	PRSS27
Q80WM7	PRSS33
Q3UKY7	PRSS38
Q8VIF2	PRSS42
Q8K4I7	PRSS45
Q5M8S2	PRSS46
Q14B25	PRSS48
Q571E5	PRSS53
Q14BX2	PRSS55
F2YMG0	PRSS56
Q14B24	PRSS57
Q8BW11	PRSS58
Q9ESD1	PRSS8
Q61096	PRTN3
O88851	RBBP9
Q8BP97	RHBDD3
Q8VC82	RHBDL1
A2AGA4	RHBDL2
P58873	RHBDL3
Q8BHC7	RHBDD1
Q920A5	SCPEP1
Q6NZC7	SEC23IP
Q8R197	OLAH
Q9R0P6	SEC11A
Q9D8V7	SEC11C
P97321	FAP
P70665	SIAE
Q9CQC8	SPG21
Q3U213	SERAC1
P56677	ST14
Q9JHJ7	PRSS21
Q3TUU5	TEX30
P19221	F2
Q3UQ41	TMPRSS11A
Q14C59	TMPRSS11B
Q8VHK8	TMPRSS11D
Q5S248	TMPRSS11E
Q8BHM9	TMPRSS11F
Q9JIQ8	TMPRSS2
Q8K1T0	TMPRSS3
Q8VCA5	TMPRSS4
Q9ER04	TMPRSS5
Q9DBI0	TMPRSS6
Q8BIK6	TMPRSS7
P69525	TMPRSS9
Q3V0Q7	TMPRSS12
Q5U405	TMPRSS13
P11214	PLAT
O89023	TPP1
Q64514	TPP2
P08071	LTF
P07146	PRSS2
Q02844	TPSAB1
P21845	TPSB2
Q9QUL7	TPSG1
Q9QXE5	PRSS16
Q9DBA6	TYSND1
P06869	PLAU
